"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
"China, P.R.: Hong Kong","532","Financial Institutions Index","FD_FI_IX","Value","0.755604267120361","0.764143466949463","0.777767658233643","0.766135931015015","0.771880149841309","0.771688103675842","0.785049259662628","0.785724937915802","0.795429706573486","0.799431562423706","0.793245017528534",
"India","534","Financial Markets Index","FD_FM_IX","Value","0.484724432229996","0.433532446622849","0.42749410867691","0.446743249893188","0.449610769748688","0.434415280818939","0.467568516731262","0.493920981884003","0.48083883523941","0.594535946846008","0.582220196723938",
"Indonesia","536","Financial Markets Index","FD_FM_IX","Value","0.280087143182755","0.260552763938904","0.283442288637161","0.273522436618805","0.273532718420029","0.283860296010971","0.277318447828293","0.285071492195129","0.287074387073517","0.309719622135162","0.304108023643494",
"Timor-Leste, Dem. Rep. of","537","Financial Development Index","FD_FD_IX","Value","0.0865331217646599","0.0966805517673492","0.101540222764015","0.103743351995945","0.0940467864274979","0.0923313647508621","0.100959815084934","0.102531664073467","0.0971045196056366","0.101687669754028","0.102469384670258",
"Timor-Leste, Dem. Rep. of","537","Financial Institutions Depth Index","FD_FID_IX","Value","0.0252192039042711","0.0267425011843443","0.0254137106239796","0.0256119389086962","0.0259461142122746","0.0245358813554049","0.0319531820714474","0.0313563980162144","0.0254615992307663","0.0265646614134312","0.0165205113589764",
"Timor-Leste, Dem. Rep. of","537","Financial Markets Depth Index","FD_FMD_IX","Value","0","0","0","0","0","0","0","0","0","0","0",
"Korea, Rep. of","542","Financial Markets Depth Index","FD_FMD_IX","Value","0.729990720748901","0.816210448741913","0.81791365146637","0.769144773483276","0.782340586185455","0.771655678749084","0.836685359477997","0.745728969573975","0.770584940910339","0.831634759902954","0.773397147655487",
"Lao People's Dem. Rep.","544","Financial Institutions Efficiency Index","FD_FIE_IX","Value","0.503208160400391","0.539230108261108","0.539948761463165","0.311575889587402","0.362008959054947","0.348422586917877","0.31537714600563","0.537368535995483","0.561629235744476","0.564417958259583","0.554589688777924",
"Egypt, Arab Rep. of","469","Financial Markets Access Index","FD_FMA_IX","Value","0.306708157062531","0.318534046411514","0.331994146108627","0.30745929479599","0.299004882574081","0.338251322507858","0.315799474716187","0.305634498596191","0.453216224908829","0.302475720643997","0.309568554162979",
"Yemen, Rep. of","474","Financial Markets Depth Index","FD_FMD_IX","Value","0.05547696352005","0.0512770339846611","0.044913537800312","0.0419654026627541","0.0419450029730797","0.0833008587360382","0.0936532989144325","0.116342417895794","0.0972131416201591","0.112876854836941","0.106864757835865",
"Austria","122","Financial Institutions Efficiency Index","FD_FIE_IX","Value","0.491059750318527","0.508663356304169","0.429510235786438","0.452134877443314","0.488455891609192","0.614900469779968","0.510584950447083","0.527509212493896","0.511729538440704","0.474941819906235","0.533195674419403",
"Austria","122","Financial Markets Access Index","FD_FMA_IX","Value","0.763655483722687","0.799276113510132","0.81129252910614","0.728894412517548","0.653377413749695","0.650825262069702","0.732428669929504","0.83785492181778","0.789856731891632","0.742284595966339","0.824581265449524",
"Austria","122","Financial Markets Efficiency Index","FD_FME_IX","Value","0.561496317386627","0.275186717510223","0.278278082609177","0.366257101297378","0.407685279846191","0.405271708965302","0.324243605136871","0.416717320680618","0.310496717691422","0.371755629777908","0.371755629777908",
"China, P.R.: Hong Kong","532","Financial Markets Efficiency Index","FD_FME_IX","Value","0.785519480705261","0.469316333532333","0.504373729228973","0.553966283798218","0.801759004592896","0.504558861255646","0.535500705242157","0.732618570327759","0.459115892648697","0.61801952123642","0.61801952123642",
"Timor-Leste, Dem. Rep. of","537","Financial Markets Efficiency Index","FD_FME_IX","Value","0","0","0","0","0","0","0","0","0","0","0",
"Botswana","616","Financial Institutions Index","FD_FI_IX","Value","0.434200018644333","0.446374028921127","0.43510377407074","0.424850672483444","0.435887396335602","0.425667613744736","0.426124215126038","0.460298985242844","0.466052204370499","0.47747141122818","0.449416190385818",
"French Polynesia","887","Financial Markets Depth Index","FD_FMD_IX","Value","0","0","0","0","0","0","0","0","0","0","0",
"Armenia, Rep. of","911","Financial Institutions Depth Index","FD_FID_IX","Value","0.0802319124341011","0.0893588364124298","0.0938011780381203","0.106948971748352","0.101590722799301","0.111010909080505","0.121064513921738","0.130491361021995","0.145267844200134","0.179516866803169","0.165045663714409",
"Azerbaijan, Rep. of","912","Financial Institutions Depth Index","FD_FID_IX","Value","0.0447916649281979","0.0552987121045589","0.0683225691318512","0.0796171724796295","0.0976655632257462","0.0842632427811623","0.0636381655931473","0.0665957257151604","0.0685975700616837","0.0743143483996391","0.0683610290288925",
"Belarus, Rep. of","913","Financial Markets Index","FD_FM_IX","Value","0.0466610342264175","0.0292680542916059","0.0265270881354809","0.0254300590604544","0.0136527409777045","0.0147705739364028","0.0150343980640173","0.0143406307324767","0.0160875860601664","0.0173932574689388","0.0168091598898172",
"Belarus, Rep. of","913","Financial Institutions Depth Index","FD_FID_IX","Value","0.0989776700735092","0.0666964799165726","0.0740223899483681","0.0710534676909447","0.0763227343559265","0.0753126740455627","0.0749273970723152","0.0741059333086014","0.0793096572160721","0.0819780454039574","0.0777299329638481",
"Albania","914","Financial Development Index","FD_FD_IX","Value","0.20467109978199","0.205120518803596","0.204553321003914","0.206124514341354","0.199221476912499","0.198963299393654","0.197946652770042","0.189708173274994","0.195848420262337","0.197740003466606","0.203351199626923",
"Albania","914","Financial Markets Index","FD_FM_IX","Value","0.00420513609424233","0.00445192772895098","0.00439918227493763","0.00417549349367619","0.00525027606636286","0.00472758570685983","0.00464043859392405","0.00679120654240251","0.00660013174638152","0.00793539639562368","0.00821376498788595",
"Russian Federation","922","Financial Institutions Depth Index","FD_FID_IX","Value","0.132218360900879","0.140190586447716","0.152920469641686","0.167276099324226","0.173104211688042","0.174838364124298","0.177371591329575","0.174945309758186","0.182832270860672","0.205439433455467","0.198470145463944",
"Russian Federation","922","Financial Institutions Efficiency Index","FD_FIE_IX","Value","0.32938677072525","0.340831935405731","0.324620515108109","0.294453948736191","0.269465357065201","0.59299224615097","0.48040708899498","0.572992503643036","0.583225190639496","0.647844433784485","0.644933819770813",
"Tajikistan, Rep. of","923","Financial Institutions Depth Index","FD_FID_IX","Value","0.0401561297476292","0.0375271998345852","0.0449907295405865","0.0512328036129475","0.0534959957003593","0.0466824844479561","0.0352693349123001","0.0440632849931717","0.0425042062997818","0.043545089662075","0.0393645465373993",
"China, P.R.: Mainland","924","Financial Development Index","FD_FD_IX","Value","0.514992356300354","0.550637066364288","0.559867739677429","0.591823399066925","0.62343817949295","0.637798845767975","0.629589080810547","0.636911511421204","0.631089866161346","0.674299597740173","0.633902668952942",
"China, P.R.: Mainland","924","Financial Markets Index","FD_FM_IX","Value","0.584430754184723","0.60036313533783","0.60211980342865","0.642043650150299","0.650058269500732","0.666015625","0.633679866790771","0.633943974971771","0.623393952846527","0.705305755138397","0.635408043861389",
"China, P.R.: Mainland","924","Financial Markets Access Index","FD_FMA_IX","Value","0.215933278203011","0.252068936824799","0.228912800550461","0.288432359695435","0.261368572711945","0.315117985010147","0.192010164260864","0.298500210046768","0.21177089214325","0.370189964771271","0.186484098434448",
"Turkmenistan","925","Financial Development Index","FD_FD_IX","Value","0.0950817987322807","0.0964382588863373","0.0999083146452904","0.100352726876736","0.100537464022636","0.105207346379757","0.103298798203468","0.103315733373165","0.104096151888371","0.103340446949005","0.104861304163933",
"Ukraine","926","Financial Institutions Index","FD_FI_IX","Value","0.346089601516724","0.360275030136108","0.401950478553772","0.377054244279862","0.347118526697159","0.336922615766525","0.338188111782074","0.35136604309082","0.376503884792328","0.350134432315826","0.370441287755966",
"Slovak Rep.","936","Financial Development Index","FD_FD_IX","Value","0.278613567352295","0.275144040584564","0.28871613740921","0.287138104438782","0.289498776197434","0.294268697500229","0.292281538248062","0.287938803434372","0.287187308073044","0.285847097635269","0.280373215675354",
